ananas,TO,Low_Weight
ananindeua,PA,Heavy_Weight
anapolis,GO,Low_Weight
anastacio,MS,Low_Weight
anaurilandia,MS,Low_Weight
anchieta,ES,Heavy_Weight
anchieta,SC,Low_Weight
andarai,BA,Heavy_Weight
andira,PR,Low_Weight
andorinha,BA,Low_Weight
andradas,MG,Heavy_Weight
andradina,SP,Low_Weight
andre da rocha,RS,Heavy_Weight
andrelandia,MG,Heavy_Weight
andrequice,MG,Heavy_Weight
angatuba,SP,Heavy_Weight
angelica,MS,Low_Weight
angelina,SC,Heavy_Weight
angelo frechiani,ES,Low_Weight
angical,BA,Heavy_Weight
angical do piaui,PI,Low_Weight
angicos,RN,Low_Weight
angra dos reis,RJ,Heavy_Weight
anguera,BA,Heavy_Weight
angulo,PR,Low_Weight
angustura,MG,Heavy_Weight
anhandui,MS,Low_Weight
anhembi,SP,Low_Weight
anhumas,SP,Low_Weight
anicuns,GO,Low_Weight
anita garibaldi,SC,Low_Weight
anitapolis,SC,Low_Weight
anta,RJ,Low_Weight
anta gorda,RS,Heavy_Weight
antonina,PR,Low_Weight
antonina do norte,CE,Low_Weight
antonio cardoso,BA,Heavy_Weight
antonio carlos,MG,Low_Weight
antonio carlos,SC,Low_Weight
antonio goncalves,BA,Low_Weight
antonio martins,RN,Low_Weight
antonio pereira,MG,Low_Weight
antonio prado,RS,Low_Weight
antonio prado de minas,MG,Heavy_Weight
antunes,MG,Heavy_Weight
aparecida,SP,Heavy_Weight
aparecida d'oeste,SP,Low_Weight
aparecida de goiania,GO,Heavy_Weight
aparecida de monte alto,SP,Low_Weight
aparecida de sao manuel,SP,Low_Weight
aparecida do rio negro,TO,Heavy_Weight
aparecida do taboado,MS,Heavy_Weight
aperibe,RJ,Heavy_Weight
apiaca,ES,Low_Weight
apiacas,MT,Low_Weight
apiai,SP,Heavy_Weight
apiuna,SC,Low_Weight
apodi,RN,Low_Weight
apora,BA,Heavy_Weight
apore,GO,Heavy_Weight
apuarema,BA,Heavy_Weight
apucarana,PR,Heavy_Weight
apuiares,CE,Low_Weight
aquidaba,SE,Heavy_Weight
aquidauana,MS,Low_Weight
aquiraz,CE,Low_Weight
aracaju,SE,Heavy_Weight
aracariguama,SP,Heavy_Weight
aracati,CE,Low_Weight
aracatu,BA,Low_Weight
aracatuba,SP,Heavy_Weight
arace,ES,Low_Weight
araci,BA,Low_Weight
aracitaba,MG,Low_Weight
aracoiaba,CE,Low_Weight
aracoiaba,PE,Low_Weight
aracoiaba da serra,SP,Heavy_Weight
aracruz,ES,Heavy_Weight
aracuai,MG,Heavy_Weight
aragarcas,GO,Low_Weight
aragoiania,GO,Low_Weight
araguacu,TO,Heavy_Weight
araguaia,ES,Low_Weight
araguaina,TO,Low_Weight
araguana,MA,Heavy_Weight
araguapaz,GO,Heavy_Weight
araguari,MG,Heavy_Weight
araguatins,TO,Low_Weight
aramari,BA,Heavy_Weight
arame,MA,Low_Weight
aramina,SP,Low_Weight
arandu,SP,Heavy_Weight
arantina,MG,Low_Weight
arapei,SP,Heavy_Weight
arapiraca,AL,Heavy_Weight
arapoema,TO,Low_Weight
araponga,MG,Low_Weight
arapongas,PR,Low_Weight
arapora,MG,Low_Weight
arapoti,PR,Heavy_Weight
arapua,MG,Low_Weight
araputanga,MT,Low_Weight
araquari,SC,Heavy_Weight
arara,PB,Low_Weight
ararangua,SC,Heavy_Weight
araraquara,SP,Low_Weight
araras,SP,Heavy_Weight
arari,MA,Heavy_Weight
ararica,RS,Heavy_Weight
araripe,CE,Heavy_Weight
araripina,PE,Heavy_Weight
araruama,RJ,Heavy_Weight
araruna,PB,Low_Weight
araruna,PR,Heavy_Weight
arataca,BA,Heavy_Weight
aratiba,RS,Low_Weight
aratuba,CE,Low_Weight
araucaria,PR,Low_Weight
araujos,MG,Heavy_Weight
araxa,MG,Heavy_Weight
arceburgo,MG,Heavy_Weight
arcos,MG,Heavy_Weight
arcoverde,PE,Heavy_Weight
areado,MG,Low_Weight
areal,RJ,Heavy_Weight
arealva,SP,Low_Weight
areia,PB,Low_Weight
areia branca,RN,Low_Weight
areia branca dos assis,PR,Heavy_Weight
areial,PB,Low_Weight
areias,SP,Heavy_Weight
areiopolis,SP,Low_Weight
arembepe,BA,Heavy_Weight
arenapolis,MT,Low_Weight
arenopolis,GO,Low_Weight
aribice,BA,Low_Weight
arinos,MG,Heavy_Weight
aripuana,MT,Heavy_Weight
ariquemes,RO,Heavy_Weight
ariranha,SP,Heavy_Weight
armacao dos buzios,RJ,Heavy_Weight
armazem,SC,Low_Weight
arneiroz,CE,Low_Weight
aroeiras,PB,Low_Weight
arraial d ajuda,BA,Low_Weight
arraial d'ajuda,BA,Low_Weight
arraial do cabo,RJ,Heavy_Weight
arraias,TO,Heavy_Weight
arroio do meio,RS,Heavy_Weight
arroio do sal,RS,Heavy_Weight
arroio do tigre,RS,Heavy_Weight
arroio dos ratos,RS,Heavy_Weight
arroio grande,RS,Heavy_Weight
arroio trinta,SC,Low_Weight
arrozal,RJ,Heavy_Weight
artur nogueira,SP,Heavy_Weight
aruana,GO,Low_Weight
aruja,SP,Low_Weight
arvoredo,SC,Low_Weight
